Dataset,Algorithm,Type,Run,Threads,Time,Metric,Best Iteration,Iterations,Eta,Leaves,Depth,Hessian,Subsample,Colsample_bytree,Training RAM 1st,Training RAM 25%,Training RAM 50%,Training RAM 75%,Total RAM,gc RAM
'bosch','xgboost-lossguide','leaves',2,4,985.4976,0.7211853,1462,1500,0.02,15,0,1,1,1,3434614784,3440463872,3440263168,3440930816,3443806208,2612703232
'bosch','xgboost-lossguide','leaves',3,4,878.9325,0.7237858,426,1000,0.02,31,0,1,1,1,3543916544,3544514560,3550928896,3551649792,3533090816,2685878272
'bosch','xgboost-lossguide','leaves',4,4,1155.563,0.7261027,405,1000,0.02,63,0,1,1,1,3759267840,3764117504,3766132736,3767529472,3756449792,2835771392
'bosch','xgboost-lossguide','leaves',5,4,896.0983,0.7284439,404,500,0.02,127,0,1,1,1,4198060032,4193435648,4204085248,4198539264,4210364416,3120291840
'bosch','xgboost-lossguide','leaves',6,4,1008.294,0.7287067,316,400,0.02,255,0,1,1,1,5052891136,5048238080,5060132864,5056229376,5068283904,3706200064
'bosch','xgboost-lossguide','leaves',7,4,1716.662,0.7275439,343,400,0.02,511,0,1,1,1,6380244992,6778015744,6782492672,6786895872,6797651968,4861460480
'bosch','xgboost-lossguide','leaves',8,4,2719.744,0.7272748,330,400,0.02,1023,0,1,1,1,7541833728,10224631808,10231967744,10235670528,10264514560,7180886016
'bosch','xgboost-lossguide','leaves',9,4,4406.059,0.7149108,400,400,0.02,2047,0,1,1,1,9862307840,17121673216,17128566784,17142722560,17198129152,11812454400
'bosch','xgboost-lossguide','leaves',10,4,5129.312,0.7101236,400,400,0.02,4095,0,1,1,1,14490742784,22610919424,27571068928,27587158016,27640791040,17647013888
'bosch','xgboost-lossguide','depth',1,4,1292.394,0.7145333,1920,2000,0.02,7,3,1,1,1,2581291008,2581073920,2589601792,2589356032,2591371264,2575114240
'bosch','xgboost-lossguide','depth',2,4,1027.986,0.7198081,1425,1500,0.02,15,4,1,1,1,3435032576,3440840704,3440656384,3441324032,3443568640,2611982336
'bosch','xgboost-lossguide','depth',3,4,795.989,0.7214592,977,1000,0.02,31,5,1,1,1,3529797632,3548897280,3539308544,3550097408,3551875072,2684637184
'bosch','xgboost-lossguide','depth',4,4,905.7651,0.7223834,723,1000,0.02,63,6,1,1,1,3660316672,3755806720,3756834816,3757891584,3752849408,2824208384
'bosch','xgboost-lossguide','depth',5,4,598.2516,0.7191517,399,500,0.02,127,7,1,1,1,3847073792,3950350336,4094771200,4094226432,4096372736,3026460672
'bosch','xgboost-lossguide','depth',6,4,596.221,0.7250211,328,400,0.02,255,8,1,1,1,4113956864,4301783040,4487438336,4524290048,4509061120,3251867648
'bosch','xgboost-lossguide','depth',7,4,702.1525,0.7248398,391,400,0.02,511,9,1,1,1,4391436288,4704821248,5002027008,5014175744,4998918144,3521028096
